Country,FDI,FIEI
Albania,0.199178040027618,0.606880009174347
Algeria,0.144824534654617,0.749048113822937
Angola,0.156810119748116,0.573909401893616
Antigua and Barbuda,0.314412623643875,0.825533032417297
Argentina,0.321530848741531,0.606799602508545
"Armenia, Republic of",0.238855049014091,0.660507559776306
Aruba,0.302238881587982,0.640035092830658
Australia,0.900361835956573,0.802320539951324
Austria,0.630704522132874,0.785955309867859
"Azerbaijan, Republic of",0.176098585128784,0.457974821329117
"Bahamas, The",0.393080562353134,0.664172291755676
"Bahrain, Kingdom of",0.3863165974617,0.795177340507507
Bangladesh,0.232959732413292,0.710187494754791
Barbados,0.444125413894653,0.764900326728821
Belarus,0.176503658294678,0.715066850185394
Belgium,0.632145822048187,0.773882150650024
Belize,0.211083650588989,0.525812268257141
Benin,0.12785479426384,0.683924376964569
Bhutan,0.199779391288757,0.688458204269409
Bolivia,0.29958188533783,0.613288283348084
Bosnia and Herzegovina,0.259020984172821,0.685774683952332
Botswana,0.262451261281967,0.664401412010193
Brazil,0.600494503974915,0.496535927057266
Brunei Darussalam,0.337774515151978,0.721193611621857
Bulgaria,0.377590984106064,0.719420433044434
Burkina Faso,0.130788564682007,0.707706391811371
Burundi,0.137064769864082,0.497810363769531
Cabo Verde,0.252844631671906,0.655218660831451
Cambodia,0.153885155916214,0.578937172889709
Cameroon,0.103024877607822,0.542880296707153
Canada,0.877711892127991,0.792392253875732
Central African Republic,0.0529687963426113,0.300731390714645
Chad,0.0932455435395241,0.474363088607788
Chile,0.459539622068405,0.529268145561218
"China, P.R.: Hong Kong",0.740484356880188,0.653161227703094
"China, P.R.: Macao",0.442538112401962,0.777529656887054
"China, P.R.: Mainland",0.645403981208801,0.795673549175262
Colombia,0.381437480449677,0.61933159828186
Comoros,0.0537453405559063,0.215910077095032
"Congo, Democratic Republic of",0.0465203784406185,0.262647390365601
"Congo, Republic of",0.157562047243118,0.658662080764771
Costa Rica,0.276998311281204,0.584465324878693
Cote d'Ivoire,0.161684781312943,0.544369339942932
Croatia,0.496927529573441,0.700218498706818
Cyprus,0.47735869884491,0.602429151535034
Czech Republic,0.473324328660965,0.795254528522491
Denmark,0.6449014544487,0.640743672847748
Djibouti,0.156297087669373,0.696542382240295
Dominica,0.223563358187675,0.640836477279663
Dominican Republic,0.179058581590652,0.534051597118378
Ecuador,0.174886882305145,0.541483044624329
Egypt,0.310599505901337,0.781156659126282
El Salvador,0.228793293237686,0.573324918746948
Equatorial Guinea,0.10593032091856,0.542237281799316
Eritrea,0.0836109817028046,0.524448692798615
Estonia,0.284882634878159,0.660341858863831
Ethiopia,0.134647458791733,0.760457873344421
Fiji,0.217406675219536,0.610705196857452
Finland,0.736415028572083,0.791455090045929
France,0.777078747749329,0.80215585231781
French Territories: French Polynesia,0.0894614532589912,0.61442768573761
Gabon,0.125458523631096,0.513017177581787
"Gambia, The",0.0762426182627678,0.350096434354782
Georgia,0.306516617536545,0.720977008342743
Germany,0.713744401931763,0.667407810688019
Ghana,0.144933611154556,0.423170238733292
Greece,0.535087287425995,0.721246361732483
Grenada,0.294965267181396,0.614658951759338
Guatemala,0.231076002120972,0.640602946281433
Guinea,0.105498008430004,0.550882279872894
Guinea-Bissau,0.103805519640446,0.611575663089752
Guyana,0.160921230912209,0.615587294101715
Haiti,0.112548023462296,0.635668396949768
Honduras,0.207011535763741,0.533545911312103
Hungary,0.440753996372223,0.682471454143524
Iceland,0.509202003479004,0.383387327194214
India,0.418238759040833,0.595797896385193
Indonesia,0.365880519151688,0.668009757995605
"Iran, Islamic Republic of",0.381730854511261,0.649074494838715
Ireland,0.673120200634003,0.642992496490479
Israel,0.559961557388306,0.745760321617126
Italy,0.763600826263428,0.527796387672424
Jamaica,0.274813294410706,0.53946179151535
Japan,0.859173774719238,0.838923394680023
Jordan,0.381038963794708,0.714625298976898
Kazakhstan,0.338648229837418,0.567550420761108
Kenya,0.186378061771393,0.595735788345337
Kiribati,0.0935315266251564,0.459417641162872
"Korea, Republic of",0.846328496932983,0.789161503314972
Kuwait,0.518661022186279,0.785465896129608
Kyrgyz Republic,0.112442344427109,0.337200850248337
Lao People's Democratic Republic,0.136583104729652,0.317690312862396
Latvia,0.257966309785843,0.648667514324188
Lebanon,0.299784868955612,0.782364845275879
Lesotho,0.144792795181274,0.50720888376236
Liberia,0.129480391740799,0.355583488941193
Libya,0.144953027367592,0.650902330875397
Lithuania,0.219162806868553,0.643119931221008
Luxembourg,0.753573000431061,0.778296411037445
Madagascar,0.100339248776436,0.55473005771637
Malawi,0.0825556218624115,0.324361354112625
Malaysia,0.649845957756042,0.809355616569519
Maldives,0.179614335298538,0.728622615337372
Mali,0.141281887888908,0.749180436134338
Malta,0.535207271575928,0.778851270675659
"Marshall Islands, Republic of",0.120377458631992,0.465620845556259
Mauritania,0.110408879816532,0.500051200389862
Mauritius,0.419070899486542,0.723378121852875
Mexico,0.414424598217011,0.609755098819733
"Micronesia, Federated States of",0.0564544834196568,0.0208026804029942
Moldova,0.211883664131165,0.662006318569183
Mongolia,0.382117420434952,0.678649604320526
Morocco,0.361021041870117,0.663614749908447
Mozambique,0.144520029425621,0.510242819786072
Myanmar,0.130752429366112,0.755705058574677
Namibia,0.401065319776535,0.707208335399628
Netherlands,0.716479420661926,0.827290892601013
New Zealand,0.590540766716003,0.806135654449463
Nicaragua,0.147599443793297,0.54111909866333
Niger,0.128547117114067,0.732707321643829
Nigeria,0.229546934366226,0.581216514110565
Norway,0.664965689182281,0.647764205932617
Oman,0.391463667154312,0.775904655456543
Pakistan,0.239337548613548,0.751963973045349
Panama,0.338596850633621,0.730784893035889
Papua New Guinea,0.216594383120537,0.642805397510529
Paraguay,0.122790552675724,0.243554428219795
Peru,0.373565465211868,0.598725080490112
Philippines,0.366527140140533,0.7394739985466
Poland,0.473860591650009,0.759535670280457
Portugal,0.721503078937531,0.686947524547577
Qatar,0.530623972415924,0.826111137866974
Romania,0.309386283159256,0.711741745471954
Russian Federation,0.510897397994995,0.678687214851379
Rwanda,0.0917395800352097,0.37844854593277
Samoa,0.203461989760399,0.592728674411774
Sao Tome and Principe,0.120769545435905,0.27818500995636
Saudi Arabia,0.509154796600342,0.369877427816391
Senegal,0.111012734472752,0.45904329419136
"Serbia, Republic of",0.247530877590179,0.517896592617035
Seychelles,0.307756781578064,0.752476990222931
Sierra Leone,0.0677961856126785,0.357044488191605
Singapore,0.713519692420959,0.79225766658783
Slovak Republic,0.319206088781357,0.784395277500153
Slovenia,0.381862461566925,0.758444607257843
Solomon Islands,0.0918684229254723,0.431194633245468
South Africa,0.630998849868774,0.742187798023224
South Sudan,0.0598079636693001,0.373877435922623
Spain,0.873402655124664,0.752279281616211
Sri Lanka,0.272594898939133,0.755407512187958
St. Kitts and Nevis,0.308780908584595,0.735388994216919
St. Lucia,0.292748242616653,0.482887864112854
St. Vincent and the Grenadines,0.190994814038277,0.536637663841248
Sudan,0.108717441558838,0.614104330539703
Suriname,0.207793027162552,0.645522952079773
Sweden,0.776443779468536,0.796173334121704
Switzerland,0.963958501815796,0.744142770767212
Syrian Arab Republic,0.134847685694695,0.737902343273163
Tajikistan,0.0928808301687241,0.389449030160904
Tanzania,0.110943853855133,0.50690096616745
Thailand,0.753043293952942,0.774262607097626
"Timor-Leste, Dem. Rep. of",0.118557922542095,0.670572519302368
Togo,0.174670666456223,0.671395659446716
Tonga,0.229621157050133,0.764033615589142
Trinidad and Tobago,0.366355389356613,0.654819488525391
Tunisia,0.241196230053902,0.616491198539734
Turkey,0.508769452571869,0.612529695034027
Turkmenistan,0.117709688842297,0.712035000324249
Uganda,0.10177443176508,0.487455725669861
Ukraine,0.217541500926018,0.489097595214844
United Arab Emirates,0.462620407342911,0.397788196802139
United Kingdom,0.876529097557068,0.646995604038239
United States,0.890485167503357,0.675435721874237
Uruguay,0.248143702745438,0.526420950889587
Uzbekistan,0.180488035082817,0.484762579202652
Vanuatu,0.196998730301857,0.58803915977478
"Venezuela, Republica Bolivariana de",0.234540075063705,0.573755979537964
Vietnam,0.386524230241776,0.77203106880188
"Yemen, Republic of",0.12123417109251,0.612876415252686
Zambia,0.1170639321208,0.452135175466537
